"","9014_1-5","9014_1-6","9014_2-5","9014_2-6","9014_5-6","9014_6-5-1","9014_6-5-2","9014_6-6"
"RP11-176D17.3",0,0,0,2,3,7,0,4
"PTPN14",403,339,289,395,706,445,509,670
"RP11-365D23.4",1,1,2,1,1,1,0,3
"RP11-365D23.3",0,0,0,0,0,0,0,0
"CENPF",4177,3418,3680,3717,2176,4900,5035,2100
"RP11-365D23.1",6,1,2,5,1,1,3,2
"RP11-365D23.2",0,2,0,0,0,0,1,3
"RP11-504B1.1",0,0,0,0,0,0,0,0
"RP11-323K10.1",0,0,0,0,0,0,0,0
"KCNK2",0,0,0,0,0,0,1,0
"RP11-199H2.1",0,0,0,0,0,0,0,0
"RP11-199H2.2",0,0,0,0,0,0,0,0
"KCTD3",268,266,252,300,233,167,226,261
"USH2A",1,1,0,3,0,6,0,0
"RF00108",0,0,0,0,1,0,2,0
"RP5-1111A8.3",0,0,0,0,0,0,0,0
"RP11-22M7.2",0,0,0,0,0,0,0,0
"RP5-1099E6.3",0,0,0,0,0,0,0,0
"RP5-1099E6.2",0,0,0,0,0,0,0,0
"ESRRG",0,0,1,0,0,1,0,0
"GPATCH2",1048,1182,783,1188,1189,914,943,1304
"SPATA17",5,0,0,5,0,2,2,2
"RP11-415L24.1",0,0,0,0,0,0,0,0
"UBBP2",0,0,0,0,0,0,0,0
"LINC00210",0,0,0,0,0,0,0,0
"RP11-152L7.1",0,0,0,0,0,0,0,0
"RP11-152L7.2",0,0,0,0,0,0,0,0
"RNU1-141P",2,0,0,0,0,0,0,0
"RRP15",1619,2013,1326,2170,1832,1490,1634,2117
"RP11-224O19.4",0,0,0,0,0,0,0,0
"RP11-224O19.5",2,0,0,0,0,0,0,0
"RP11-224O19.2",0,0,0,0,0,0,0,0
"TGFB2",3,0,2,0,0,1,0,0
"TGFB2-OT1",0,0,0,0,0,0,0,0
"C1orf143",0,0,0,0,0,0,1,0
"RP11-412H9.1",0,0,0,0,0,0,0,0
"RP11-412H9.2",0,0,0,0,0,0,0,0
"RP11-135J2.4",0,8,2,4,1,0,2,2
"LYPLAL1",498,676,471,768,468,410,361,520
"RP11-135J2.2",11,12,7,10,20,23,18,32
"RP11-135J2.3",1,0,0,1,1,3,5,3
"RP11-392O17.2",8,3,3,7,5,9,6,3
"RP11-392O17.1",0,0,1,0,0,0,0,0
"RP11-95P13.2",0,0,0,0,0,0,0,0
"ZC3H11B",2,2,6,4,3,2,5,10
"SLC30A10",0,0,0,0,0,0,0,0
"RNA5SP76",0,0,0,0,0,0,0,0
"EPRS",11824,12092,9929,12893,10340,9401,10024,11884
"BPNT1",1541,1701,1297,1948,1443,1302,1340,1583
"IARS2",4886,6410,3939,6873,5263,4017,4403,5884
"MIR215",1,1,0,0,0,0,1,3
"MIR194-1",1,0,0,2,3,0,0,1
"RP11-544K18.2",5,7,6,12,8,8,11,8
"RAB3GAP2",3790,4070,3152,4490,3418,3399,3557,4191
"MIR664A",0,0,0,0,0,0,0,0
"SNORA36B",0,0,0,1,0,0,0,0
"RP11-568G11.4",9,9,7,9,16,22,13,14
"RP11-568G11.5",0,0,0,3,0,0,3,1
"RP11-568G11.3",407,421,311,474,309,312,302,414
"AURKAPS1",1,1,9,6,24,17,15,15
"RP11-302I18.2",0,0,0,0,0,0,0,0
"RP11-302I18.1",1,1,0,0,3,1,0,1
"RP11-302I18.3",0,0,0,0,0,0,0,0
"RP11-410C4.5",0,0,0,0,0,0,0,0
"RP11-410C4.1",0,0,0,0,0,0,0,0
"RP11-410C4.2",0,0,0,0,0,0,0,0
"RP11-410C4.3",0,0,0,0,0,0,0,0
"RP11-410C4.4",0,0,0,0,0,0,0,0
"MARK1",0,0,0,0,0,0,0,0
"RN7SL464P",0,0,0,0,0,0,0,0
"RP11-322F10.3",0,0,0,0,0,0,0,0
"C1orf115",7,26,6,55,23,16,12,23
"MARC2",0,0,0,0,0,0,0,0
"MARC1",1,0,0,1,0,2,0,0
"RP11-295M18.7",0,0,0,0,0,0,0,0
"RP11-295M18.6",0,0,0,0,0,0,0,0
"RP11-295M18.2",0,0,0,0,0,0,0,0
"RP11-295M18.5",0,0,0,0,0,0,0,0
"HLX",2,2,2,0,0,1,4,1
"RP11-453O22.1",0,0,0,0,0,0,0,0
"RP11-421L10.1",0,0,0,0,0,0,0,0
"RP11-103C3.1",0,0,0,0,0,0,0,0
"RP11-103C3.2",0,0,0,0,0,0,0,0
"DUSP10",9984,2343,8428,2333,3369,4830,5389,3547
"RP11-191N8.2",2,0,0,0,0,0,0,0
"RNU6-403P",0,0,0,0,0,0,0,0
"RP11-815M8.1",0,0,0,0,0,0,0,0
"RP11-400N13.2",0,0,0,0,0,0,0,0
"RP11-400N13.3",0,0,0,0,0,0,0,0
"RP11-400N13.1",0,0,0,0,0,0,0,0
"RP11-149J18.1",0,0,0,0,0,0,0,0
"RP11-358H9.1",0,0,0,0,0,0,0,0
"RP11-358H9.2",2,1,0,4,0,0,1,0
"RP11-378J18.9",20,31,15,23,25,16,30,42
"RNU6-791P",0,0,0,0,0,0,0,0
"RP11-378J18.10",0,0,0,0,2,0,0,0
"HHIPL2",11,3,3,0,2,4,2,2
"TAF1A",242,302,203,320,235,222,260,243
"RP11-378J18.3",8,11,14,21,18,21,10,14
"MIA3",6045,5511,4717,6073,4733,4128,4627,5104
"RP11-378J18.6",2,2,1,1,0,5,2,4
"RP11-378J18.8",71,52,73,63,64,67,86,82
"AIDA",3823,4467,3288,4689,2243,2027,2246,2598
"BROX",2575,3815,2019,4032,2593,2118,2169,3032
"FAM177B",5,3,1,3,4,3,1,3
"RP11-452F19.3",148,141,113,125,103,116,129,124
"RP11-455P21.3",7,2,4,0,0,4,1,1
"DISP1",102,142,111,126,86,96,119,93
"RP11-455P21.2",3,4,0,0,1,4,0,1
"TLR5",88,270,91,313,229,50,53,234
"RP11-239E10.2",1,0,2,3,1,0,0,3
"RP11-239E10.3",0,0,0,0,0,0,0,0
"SUSD4",160,472,124,589,315,68,74,306
"RNU4-57P",0,0,0,0,0,0,0,0
"CCDC185",0,0,0,0,0,0,3,0
"CAPN8",2,2,0,7,4,2,0,6
"RP11-105I12.1",0,0,0,0,0,0,0,0
"RNU6-1248P",0,0,0,1,0,0,0,3
"CAPN2",22400,19882,18579,21397,12727,14401,15066,14644
"TP53BP2",3498,3185,2905,3566,3366,3596,3971,3510
"RP11-332L18.3",0,1,0,0,0,1,0,0
"RP11-332L18.4",2,0,0,0,0,0,1,1
"RP11-504P24.1",2,0,1,0,0,0,0,0
"RP11-504P24.2",283,263,209,289,297,416,410,414
"RNU6-1319P",1,0,0,2,0,0,0,0
"RP11-504P24.3",104,117,82,139,201,163,177,235
"RP11-504P24.9",12,8,9,6,14,8,15,14
"RP11-504P24.5",3,0,0,0,0,0,0,0
"RN7SKP49",0,0,0,0,0,0,0,0
"FBXO28",2060,2629,1749,2661,2038,1638,1746,2422
"RP11-365O16.1",3,3,3,6,3,1,2,3
"DEGS1",7354,5958,6059,6300,4210,4750,4935,4457
"RP11-365O16.3",1,2,1,0,1,2,2,0
"RP11-365O16.6",4,1,2,2,5,8,3,5
"NVL",1223,1402,977,1543,1136,1184,1248,1333
"MIR320B2",0,2,1,5,2,0,1,3
"RP11-365O16.5",0,0,0,0,0,1,0,0
"RNU6-1008P",0,0,0,0,0,0,0,0
"CNIH4",1389,881,1063,991,661,828,929,809
"WDR26",8315,7265,6665,7848,7012,6962,7497,8132
"MIR4742",4,2,6,2,3,4,5,8
"CNIH3",42,48,31,50,33,34,42,33
"RP11-100E13.2",0,0,0,0,0,0,0,0
"RP11-100E13.1",0,0,0,0,0,0,0,0
"RP11-100E13.3",0,1,1,0,0,0,0,0
"RP11-3L21.2",0,0,0,0,0,2,0,0
"RP11-449J1.1",0,0,0,0,0,0,0,0
"DNAH14",11,1,10,5,6,1,4,1
"LBR",5673,7384,4709,8223,6129,5356,5775,7122
"RP11-496N12.6",4,8,5,3,0,7,2,8
"RP11-496N12.9",7,0,1,1,0,1,3,2
"ENAH",9,0,3,0,1,3,6,1
"RP11-145A3.1",0,0,0,0,0,0,0,0
"RP11-145A3.2",0,0,0,0,0,0,0,2
"RNU6-1304P",0,0,0,0,0,0,0,0
"SRP9",6073,8235,4961,8961,5422,4690,4837,6188
"RP11-145A3.4",0,1,0,0,0,0,1,0
"EPHX1",540,949,385,1082,605,356,398,781
"RP11-285F7.2",176,415,145,434,261,154,174,245
"TMEM63A",4032,8631,3235,9714,4911,3317,3446,5469
"LEFTY1",1,0,0,6,0,0,0,1
"RP4-559A3.7",0,0,0,0,0,0,0,0
"PYCR2",3860,4873,3109,5049,3891,3130,3286,4195
"MIR6741",0,0,0,0,0,0,0,0
"RP4-559A3.6",0,0,0,0,0,0,0,0
"LEFTY2",2,0,0,1,0,0,0,0
"RP4-559A3.5",0,0,0,0,0,0,0,0
"SDE2",3067,3647,2490,3971,3469,2639,2846,3646
"RP11-396C23.4",0,0,1,1,1,1,1,0
"H3F3A",4921,5728,4028,6123,4597,4161,4350,4991
"RP11-396C23.2",0,0,2,1,1,2,3,0
"RP11-396C23.3",0,2,1,2,0,0,0,1
"ACBD3",3057,3074,2542,3301,2658,2151,2263,2893
"RP11-275I14.4",5,6,4,4,5,3,6,7
"RP11-275I14.2",0,0,0,0,0,0,2,0
"MIXL1",3,0,1,0,1,1,1,2
"LIN9",320,553,249,580,248,284,299,272
"RP11-125A15.1",0,0,0,0,0,0,0,0
"RP11-125A15.3",0,0,0,0,0,0,0,1
"PARP1",8792,12794,7104,13540,9259,8035,8485,10549
"RP11-118H4.3",0,0,0,0,0,0,0,0
"RP11-118H4.1",0,0,0,0,0,0,0,0
"RN7SKP165",0,0,0,0,0,0,3,0
"RP11-118H4.2",0,0,0,0,0,0,0,1
"C1orf95",2,0,0,0,6,2,1,0
"ITPKB",5597,5958,4730,6396,6843,5073,5480,7645
"RP11-115P16.3",8,4,6,10,11,20,15,30
"RP11-115P16.4",2,4,1,0,2,3,1,4
"RP11-115P16.1",0,0,0,0,0,0,0,0
"PSEN2",1378,936,1164,968,969,954,991,1149
"ADCK3",1970,3949,1597,4027,3563,2337,2424,4015
"RP5-1087E8.2",1,0,0,0,2,0,0,1
"CDC42BPA",796,479,593,556,473,412,603,531
"RP5-1087E8.3",0,0,0,0,0,0,0,0
"RP11-1B20.1",0,0,0,0,0,0,0,0
"RP11-211A18.2",0,0,0,0,0,0,0,0
"RP11-211A18.1",0,1,0,0,0,0,0,0
"CTD-2090I13.1",0,0,0,0,0,0,0,0
"CTD-2090I13.2",0,0,0,0,0,0,0,0
"CTD-2090I13.3",0,0,0,0,0,0,0,0
"CTD-2090I13.4",0,0,0,1,1,0,0,3
"RP11-275O4.4",0,0,0,0,0,0,0,0
"FAM166AP5",0,0,0,0,0,0,0,0
"TUBB8P10",0,0,0,0,0,0,0,0
"TUBB8P9",0,0,0,0,0,0,0,0
"FAM166AP4",0,0,0,0,0,0,0,0
"RNA5SP77",0,0,0,0,0,0,0,0
"ZNF678",373,465,316,419,387,338,424,494
"RP4-566D2.1",0,1,0,0,0,0,3,1
"RP5-870F10.1",0,0,0,0,0,0,0,0
"SNAP47",1791,1769,1530,1912,1433,1169,1267,1425
"JMJD4",323,318,292,360,295,262,298,320
"RP5-870F10.4",1,2,1,0,3,1,5,1
"PRSS38",2,0,0,1,0,0,0,0
"WNT9A",17,15,10,13,5,10,19,11
"MIR5008",0,0,0,0,0,2,0,0
"RP11-192I3.2",0,0,0,0,0,1,0,0
"RP11-192I3.3",0,0,0,0,0,0,0,0
"WNT3A",0,0,2,0,0,0,0,0
"RP5-881P19.7",3,2,1,9,2,8,4,3
"ARF1",23952,21322,20527,22294,18721,17206,18733,20258
"MIR3620",0,0,0,0,0,0,0,0
"C1orf35",634,576,634,564,463,587,643,576
"MRPL55",1149,927,1001,966,771,949,913,787
"RP5-881P19.6",2,7,1,13,4,10,1,0
"RP11-520H14.7",1,2,2,0,1,1,1,2
"RP11-520H14.1",1,0,0,0,0,0,0,0
"GUK1",12936,8776,11272,8904,7248,8451,9199,8115
"GJC2",43,6,37,5,6,34,43,20
"IBA57-AS1",1,0,3,4,0,2,15,1
"IBA57",796,870,592,907,801,694,810,959
"RP11-520H14.6",20,9,14,17,19,21,10,25
"OBSCN",1334,1084,1101,1195,1953,1611,1784,2202
"RP5-1139B12.2",39,53,37,38,39,37,39,35
"RP5-1139B12.3",16,25,12,18,8,19,12,25
"RP5-1139B12.4",7,3,6,6,13,8,8,12
"RP11-245P10.6",0,0,0,1,0,2,0,1
"TRIM11",2645,2533,2242,2451,2071,2071,2200,2476
"RP11-245P10.8",0,0,0,0,0,0,0,0
"MIR6742",0,0,0,0,0,0,0,0
"RP11-245P10.4",15,5,19,17,9,17,8,13
"TRIM17",66,41,46,40,47,89,76,66
"HIST3H3",0,0,0,0,0,3,2,0
"RP5-915N17.3",0,0,0,0,0,1,0,0
"HIST3H2A",425,463,373,412,417,463,457,444
"HIST3H2BB",40,18,29,29,20,63,44,28
"MIR4666A",3,0,1,0,0,0,1,0
"HIST3H2BA",1,6,3,9,1,13,3,6
"RP5-915N17.11",4,1,9,2,1,14,5,2
"RNF187",6253,5323,5269,5589,3725,4138,4474,4059
"RP5-915N17.9",2,0,0,0,0,0,0,2
"RNA5SP19",0,0,0,0,0,0,0,0
"RNA5SP162",0,0,0,0,0,0,0,0
"RNA5S1",0,0,0,0,0,0,0,0
"RNA5S2",0,0,0,0,0,0,0,0
"RNA5S3",0,0,0,0,0,0,0,0
"RNA5S4",0,0,0,0,0,0,0,0
"RNA5S5",0,0,0,0,0,0,0,0
"RNA5S6",0,0,0,0,0,0,0,0
"RNA5S7",0,0,0,0,0,0,0,0
"RNA5S8",0,0,0,0,0,0,0,0
"RNA5S9",0,0,0,0,0,0,0,0
"RNA5S10",0,0,0,0,0,0,0,0
"RNA5S11",0,0,0,0,0,0,0,0
"RNA5S12",0,0,0,0,0,0,0,0
"RNA5S13",0,0,0,0,0,0,0,0
"RNA5S14",0,0,0,0,0,0,0,0
"RNA5S15",0,0,0,0,0,0,0,0
"RNA5S16",0,0,0,0,0,0,0,0
"RNA5S17",0,0,0,0,0,0,0,0
"RNA5SP18",1,1,0,3,0,2,2,1
"DUSP5P",0,2,4,0,0,7,6,2
"RP4-646B12.2",11,22,8,12,5,7,10,9
"RHOU",3783,2214,2991,2412,1788,1774,1686,2026
"RP4-799G3.1",0,0,0,0,0,0,0,0
"RP4-799G3.2",0,0,1,0,0,0,1,0
"RP5-1065P14.3",0,0,0,0,0,0,0,0
"RP5-1065P14.1",0,0,0,0,0,0,0,0
"RP5-1065P14.2",0,0,0,0,0,1,0,0
"RP5-1061H20.5",0,0,0,0,0,0,0,0
"TMEM78",0,0,0,0,0,0,0,0
"RP5-1061H20.4",0,0,2,2,0,3,0,2
"RAB4A",899,1364,690,1423,973,753,787,1222
"SPHAR",0,0,0,0,0,0,0,0
"RP4-803J11.2",1,0,1,0,1,3,2,2
"CCSAP",980,1156,714,1297,1171,974,1168,1372
"RNU6-180P",0,0,0,0,0,0,0,0
"RN7SKP276",0,0,0,0,0,0,0,0
"RP5-1068B5.1",0,0,0,0,0,0,0,0
"ACTA1",1,0,6,3,2,5,11,6
"NUP133",2255,3064,1862,3366,2277,2112,2178,2733
"RP5-1068B5.5",0,0,0,0,0,0,0,0
"RP4-613A2.1",0,2,2,5,0,0,2,0
"ABCB10",2139,2361,1790,2530,1716,1705,1928,2032
"RNU4-21P",0,1,0,2,0,0,5,0
"RNA5SP78",3,3,3,6,8,7,7,4
"RP4-613A2.3",0,0,0,0,0,0,0,0
"TAF5L",2289,1811,1868,1875,1782,1647,1886,1996
"URB2",1341,1663,1139,1880,1635,1383,1347,1824
"RP11-108F13.2",2,1,2,2,0,3,3,3
"RP11-108F13.3",0,0,0,0,0,0,0,0
"RP11-286M16.1",0,0,0,0,0,0,0,0
"RP11-552D4.1",0,0,0,0,0,0,0,0
"GALNT2",2937,2060,2439,2141,1874,1909,2054,2010
"RP5-956O18.2",16,9,15,4,6,11,17,19
"RP5-956O18.3",0,0,0,0,0,0,0,0
"PGBD5",0,1,0,0,0,7,1,0
"RP4-553F17.1",0,0,0,0,0,0,0,0
"RP11-543E8.1",0,0,0,0,0,0,0,0
"RP11-543E8.2",0,0,0,0,0,0,0,0
"COG2",1718,2413,1360,2564,2174,1691,1833,2394
"AGT",0,0,0,0,0,0,0,0
"RP11-99J16__A.2",0,0,0,0,0,0,0,0
"CAPN9",0,1,0,3,3,0,0,0
"RNA5SP79",0,0,0,0,0,0,0,0
"RP5-858B6.1",0,0,0,0,0,0,0,0
"C1orf198",334,290,283,270,234,169,220,191
"RP5-858B6.3",0,1,0,2,1,1,4,0
"RN7SL837P",0,0,0,0,0,0,5,1
"TTC13",1205,991,964,1097,1116,1233,1358,1214
"ARV1",443,675,387,633,418,428,487,506
"FAM89A",175,161,159,159,151,139,165,136
"MIR1182",0,0,0,0,0,0,0,0
"RP11-423F24.3",3,6,2,3,4,0,3,5
"RP5-1097F14.1",0,0,0,0,0,0,0,0
"TRIM67",2,4,1,0,0,1,4,3
"RP5-1097F14.3",0,0,0,0,0,0,0,0
"C1orf131",892,1085,762,1243,861,908,888,1020
"GNPAT",2616,3077,2135,3423,2297,2095,2244,2822
"RNA5SP80",0,0,0,0,0,0,0,0
"EXOC8",2458,2401,1992,2398,1887,1830,2047,2188
"SPRTN",874,840,737,912,722,687,704,762
"EGLN1",3278,2492,2779,2851,1840,2302,2557,2097
"RP11-295G20.1",0,0,0,0,0,0,0,0
"RP11-295G20.2",54,57,44,46,21,38,35,49
"TSNAX",2012,2326,1608,2461,1529,1500,1529,1859
"TSNAX-DISC1",0,2,1,1,0,0,0,0
"RP11-17H4.2",0,0,0,0,1,0,0,0
"DISC1",867,787,653,804,456,465,505,471
"RNU5A-5P",0,0,0,1,0,0,0,0
"RF02102",0,0,0,0,0,0,0,0
"LINC00582",1,2,0,3,1,0,0,1
"RP5-865N13.2",0,0,0,0,0,0,0,0
"RP5-865N13.1",0,0,0,0,0,0,0,0
"RP11-284L19.1",0,0,0,0,0,0,0,0
"RN7SL299P",0,0,0,0,0,0,0,0
"SIPA1L2",18,46,25,18,9,34,42,14
"RNU6-1211P",0,0,0,0,0,0,0,0
"RP11-66A2.1",0,0,0,0,0,0,0,0
"RP11-66A2.2",0,0,0,0,0,0,0,0
"MAP10",61,74,19,82,85,37,52,67
"RNU1-74P",0,0,0,0,0,0,0,0
"RP4-659I19.1",0,0,0,0,0,0,0,0
"NTPCR",1362,1862,1100,1796,1178,1007,1110,1439
"PCNX2",2406,1890,2002,2128,1687,1722,2098,2160
"RP5-862P8.1",6,12,8,11,15,19,12,11
"RP5-862P8.3",0,0,0,0,0,0,0,0
"RP5-862P8.2",46,33,27,26,14,10,14,30
"RNU4-77P",0,0,0,0,0,0,0,0
"KCNK1",89,53,54,46,36,18,19,31
"MIR4427",0,0,0,0,0,0,0,0
"RP11-301G21.1",1,0,1,0,0,1,2,0
"SLC35F3",2728,1410,2373,1616,1683,1914,2176,1850
"RP11-577O19.1",0,0,0,0,0,0,0,0
"RP4-799P18.2",15,9,12,6,7,2,16,13
"RP4-799P18.4",8,6,4,4,5,9,7,10
"RP4-799P18.3",10,2,4,7,6,3,13,14
"RP4-799P18.5",1,9,4,3,7,5,3,20
"MIR4671",7,2,9,10,7,6,8,16
"RP5-827C21.1",3,2,1,1,3,0,0,3
"RP5-827C21.2",4,3,0,1,5,6,5,8
"RP5-827C21.6",3,3,7,3,4,2,11,2
"RP5-827C21.4",40,44,43,55,49,47,67,53
"COA6",1268,1211,980,1218,976,857,939,1037
"TARBP1",1244,2149,1091,2461,2621,1977,2123,2810
"RP5-855F14.1",0,0,1,0,0,0,1,1
"RP5-855F14.2",0,0,0,0,0,0,0,0
"RF00096",5,1,0,4,2,2,7,4
"IRF2BP2",11868,7558,9631,7854,7900,8462,9217,8628
"RP4-781K5.2",0,0,0,0,0,0,0,0
"NCRNA00184",0,1,1,0,1,0,0,6
"RP4-781K5.9",0,0,0,0,0,0,0,0
"RP4-781K5.4",0,0,0,0,0,0,0,0
"RP4-781K5.5",0,0,0,0,0,0,0,0
"RP4-781K5.6",0,0,1,0,0,0,0,2
"RP4-781K5.7",0,1,0,0,0,0,0,0
"LINC01132",212,170,208,158,112,175,201,125
"RP11-400F1.1",8,0,6,3,0,0,3,2
"RNY4P16",0,0,0,0,0,0,0,0
"RN7SL668P",0,0,0,0,0,0,0,0
"RP11-443B7.2",1,0,0,0,0,0,0,1
"RP11-443B7.1",12,5,6,5,2,8,20,4
"RP11-443B7.3",11,0,8,4,2,9,4,3
"LINC01348",0,0,0,5,0,1,0,0
"RP4-597N16.1",0,0,0,0,0,0,0,0
"RP4-597N16.4",3,3,0,3,0,5,2,2
"TOMM20",7930,11341,6404,12283,9302,6316,6736,10075
"SNORA14B",11,3,10,8,3,5,14,6
"RBM34",96,113,89,88,71,88,120,86
"ARID4B",7489,6702,5944,7612,7634,6360,6817,8575
"MIR4753",0,0,0,2,0,2,0,0
"RP11-382D8.4",2,1,5,5,3,0,2,4
"GGPS1",663,888,516,894,591,507,535,667
"RP11-293G6.1",178,133,130,163,161,152,152,182
"RP11-382D8.3",2,4,1,2,3,0,8,7
"RP11-517I24.5",0,1,0,0,1,1,0,0
"RP11-517I24.6",0,0,1,0,1,0,0,1
"TBCE",306,267,275,274,177,246,252,225
"RP11-293G6__A.3",0,0,0,1,0,0,0,0
"B3GALNT2",293,241,231,270,203,187,246,205
"RP4-534P7.2",0,0,0,0,0,0,0,0
"RP11-293G6__B.7",0,0,0,0,0,0,0,0
"RP11-293G6__B.6",0,0,0,0,0,0,0,0
"RP11-293G6__B.5",0,0,0,0,0,0,0,0
"RP11-293G6__B.4",0,0,0,0,0,0,0,0
"RP11-293G6__B.3",0,0,0,0,0,0,0,0
"RP11-293G6__B.2",0,0,0,0,0,0,0,0
"GNG4",64,160,63,122,85,226,175,115
"RP11-293G6__B.8",0,0,0,0,0,0,0,0
"RP11-365D9.1",0,0,0,0,0,0,5,0
"LYST",5355,3111,4249,3538,4313,5241,5294,5148
"RP5-1043F6.1",13,4,12,13,6,20,21,13
"RP4-580N22.1",11,5,12,4,7,14,13,17
"MIR1537",4,0,1,0,1,3,0,2
"RNU6-968P",0,0,0,0,0,0,0,0
"RP5-940F7.2",0,0,0,0,0,0,0,0
"RP4-580N22.2",2,0,1,0,1,0,0,0
"NID1",7,0,5,0,1,2,9,1
"RP4-764D2.1",0,0,0,0,0,0,0,0
"GPR137B",311,278,222,306,214,189,198,225
"ERO1B",785,762,562,756,778,801,867,942
"RNU2-70P",0,1,0,2,0,0,0,0
"RP11-478H16.1",0,0,0,0,1,0,0,0
"EDARADD",40,33,39,22,40,59,89,39
"RP4-670F13.2",0,0,0,0,0,0,0,0
"LGALS8",5784,5156,4753,5787,4024,4033,4103,4841
"RP11-385F5.2",9,14,5,8,7,7,6,4
"RP11-385F5.5",82,60,75,61,92,78,102,83
"RP11-385F5.4",11,3,15,15,13,16,40,25
"HEATR1",2791,3638,2230,4205,3557,3086,3125,4183
"ACTN2",0,2,0,1,0,0,0,0
"MTR",2852,3296,2220,3827,3565,2860,3224,4064
"RP11-182B22.2",2,0,1,2,0,0,2,0
"RP11-182B22.4",5,13,4,7,2,6,8,15
"MT1HL1",1,0,0,0,0,0,0,0
"RYR2",2,1,3,8,4,3,2,11
"RN7SKP195",0,0,0,0,0,0,0,0
"MIR4428",0,0,0,0,0,0,0,0
"RP11-193H5.1",0,0,0,0,0,0,0,0
"ZP4",0,0,0,0,0,1,0,0
"RP11-193H5.2",0,0,0,0,0,0,0,0
"RP11-193H5.9",0,0,0,0,0,0,0,0
"RP11-193H5.8",0,0,0,0,0,0,0,0
"RP11-193H5.7",0,0,0,0,0,0,0,0
"MTRNR2L11",0,0,0,0,0,0,0,0
"RP11-193H5.5",0,0,0,0,0,0,2,0
"RP11-193H5.4",0,0,0,0,0,0,0,0
"RP11-193H5.3",0,0,0,0,0,0,0,0
"RP11-547P4.1",0,0,0,0,0,0,0,0
"RP11-136B18.1",0,0,0,0,0,0,0,0
"RP11-136B18.2",0,0,0,0,0,0,0,0
"RNU6-725P",0,0,0,0,0,0,0,0
"RP11-371I1.2",0,0,0,0,1,0,0,0
"RP11-177F15.1",0,0,0,0,0,0,0,0
"RP11-371I1.1",0,0,0,0,0,0,0,0
"RP11-362H12.1",0,0,0,0,0,0,0,0
"RP11-307O1.1",0,1,0,0,0,0,0,0
"RP11-544D21.2",0,0,0,0,0,0,0,0
"CHRM3",1,0,7,2,1,2,11,2
"RP11-343J24.1",1861,1295,1520,1436,1088,1506,1554,1172
"RP11-35L17.2",0,0,0,0,0,0,0,0
"RP11-35L17.3",0,0,0,0,0,0,0,0
"RP11-438O11.1",0,0,0,0,0,0,0,0
"RP11-35L17.4",0,0,0,0,0,0,0,0
"FMN2",0,0,0,0,0,0,0,0
"RP11-567G24.1",7,11,7,11,1,7,4,9
"ADH5P3",0,0,0,0,0,0,0,0
"RP11-567G24.3",0,0,0,0,0,0,0,0
"RP11-177F11.1",0,0,0,0,0,0,0,0
"GREM2",128,42,134,31,10,62,43,23
"RP11-467I20.2",4,0,1,1,0,1,0,0
"RP11-467I20.4",0,0,0,0,0,2,0,0
"RP11-467I20.6",0,0,0,1,0,0,0,0
"RP11-467I20.3",0,0,0,0,0,0,0,0
"RNU5F-8P",0,0,0,0,0,0,0,0
"RP11-467I20.5",0,0,0,0,0,0,0,0
"RP11-80B9.4",0,0,0,0,0,0,0,0
"RP11-80B9.1",0,0,0,0,0,0,0,0
"RP11-80B9.2",0,0,0,0,0,0,0,0
"RGS7",0,0,0,0,0,0,0,0
"RP11-80B9.5",0,0,0,0,0,0,0,0
"RP11-435F13.1",0,0,1,0,0,0,0,0
"RP11-435F13.2",0,0,0,0,0,0,0,1
"MIR3123",0,0,0,0,0,0,0,0
"RP11-306K13.1",0,0,0,0,0,0,0,0
"RP11-527D7.1",0,0,0,0,0,0,0,0
"FH",2182,2773,1646,2761,1812,1827,2059,2186
"KMO",8,0,2,4,4,2,1,0
"OPN3",74,170,63,163,62,55,50,101
"CHML",1017,1269,835,1528,1212,896,1040,1306
"WDR64",50,63,56,100,42,43,52,44
"RP11-553N16.1",0,0,0,0,1,0,0,1
"EXO1",426,594,392,636,248,473,520,206
"RPL23AP20",0,0,0,0,0,0,0,0
"BECN2",0,0,0,0,0,0,0,0
"CFL1P4",1,1,0,0,1,0,0,0
"MAP1LC3C",0,0,0,0,0,0,1,0
"TUBB8P6",0,0,0,0,0,0,0,0
"FAM166AP1",0,0,0,0,0,0,0,0
"PLD5",0,0,0,0,0,0,0,0
"RP11-561I11.4",0,0,0,0,0,0,0,0
"RN7SKP12",0,0,0,0,0,0,0,0
"RP11-561I11.3",0,0,0,0,0,0,0,0
"RP11-513D4.3",0,0,0,0,0,0,0,0
"RP11-513D4.2",0,0,0,0,0,0,0,0
"RP11-513D4.1",0,0,0,0,0,0,0,0
"RP11-435I3.1",0,0,0,0,0,0,0,0
"RP11-377O11.1",0,0,0,0,0,0,0,0
"RP11-498M14.1",0,0,0,0,0,0,0,0
"RP11-498M14.2",0,0,0,0,0,0,0,0
"RP11-331N16.1",0,0,0,1,0,0,0,1
"RP11-261C10.1",0,0,0,0,0,0,0,0
"SEPT14P21",0,0,0,0,2,0,0,0
"RP11-261C10.8",0,0,0,0,0,0,0,0
"RP11-261C10.7",6,5,13,7,8,10,13,12
"RP11-261C10.3",37,23,35,42,36,26,50,49
"RNU6-747P",0,0,0,2,0,0,0,0
"CEP170",1257,1236,951,1359,1092,855,886,1309
"RP11-261C10.5",7,1,9,0,1,3,3,4
