"","7486_3","7486_4","7486_5","7486_6","7486_7","7486_8","7486_9","7486_10"
"BPNT1",1196,1049,1164,1279,1360,1134,1540,1391
"IARS2",2869,2319,2864,3023,4149,3112,4563,3716
"MIR215",1,1,0,3,0,2,2,0
"MIR194-1",2,0,0,0,3,1,0,0
"RP11-544K18.2",13,16,6,5,10,5,7,15
"RAB3GAP2",2424,1683,2438,2221,3658,2815,3523,3689
"MIR664A",0,0,0,0,0,0,0,0
"SNORA36B",0,0,0,0,0,0,0,0
"RP11-568G11.4",5,9,6,13,13,10,14,22
"RP11-568G11.5",1,1,0,0,0,0,0,0
"RP11-568G11.3",125,82,120,109,175,131,189,189
"AURKAPS1",14,14,7,15,10,13,9,20
"RP11-302I18.2",0,0,0,0,0,0,0,0
"RP11-302I18.1",0,0,0,0,0,0,0,0
"RP11-302I18.3",0,0,0,0,0,0,0,0
"RP11-410C4.5",0,0,0,0,0,0,0,0
"RP11-410C4.1",0,0,0,0,0,0,0,0
"RP11-410C4.2",0,0,0,0,0,0,0,0
"RP11-410C4.3",0,0,0,0,0,0,0,0
"RP11-410C4.4",0,0,0,0,0,0,0,0
"MARK1",0,0,2,0,0,0,0,0
"RN7SL464P",0,0,0,0,0,0,0,0
"RP11-322F10.3",0,0,0,1,0,0,0,0
"C1orf115",11,5,16,8,14,7,23,13
"MARC2",0,0,1,0,0,0,0,0
"MARC1",0,0,1,0,0,0,0,0
"RP11-295M18.7",0,0,0,0,0,0,0,0
"RP11-295M18.6",0,0,0,0,0,0,0,0
"RP11-295M18.2",0,0,0,0,0,0,0,0
"RP11-295M18.5",0,0,0,0,0,0,0,0
"HLX",3,1,0,1,0,0,0,0
"RP11-453O22.1",0,0,0,0,0,0,0,0
"RP11-421L10.1",0,0,1,0,0,1,0,0
"RP11-103C3.1",0,0,0,0,0,0,0,0
"RP11-103C3.2",2,0,0,0,0,0,0,0
"DUSP10",939,2574,866,2981,304,821,334,1006
"RP11-191N8.2",0,0,0,1,0,0,0,0
"RNU6-403P",0,0,0,0,0,0,0,0
"RP11-815M8.1",0,0,0,0,0,0,0,0
"RP11-400N13.2",0,0,1,4,1,2,0,0
"RP11-400N13.3",0,0,0,0,0,0,0,0
"RP11-400N13.1",0,0,0,0,0,0,0,0
"RP11-149J18.1",0,0,0,0,0,0,0,0
"RP11-358H9.1",0,0,0,0,0,0,0,0
"RP11-358H9.2",1,5,1,0,0,1,0,1
"RP11-378J18.9",62,40,51,56,48,33,59,56
"RNU6-791P",0,0,0,0,0,0,0,0
"RP11-378J18.10",1,1,0,1,0,0,0,0
"HHIPL2",10,27,18,20,9,27,16,22
"TAF1A",268,260,243,270,316,217,264,293
"RP11-378J18.3",16,12,21,30,15,11,12,14
"MIA3",4119,2776,3752,3282,4765,3794,5156,5051
"RP11-378J18.6",5,7,6,3,7,2,12,2
"RP11-378J18.8",159,99,138,108,141,101,144,146
"AIDA",538,340,555,399,948,602,935,745
"BROX",2232,1236,2169,1494,2424,1584,2584,2134
"FAM177B",2,0,0,3,1,5,2,3
"RP11-452F19.3",132,109,166,152,150,119,176,154
"RP11-455P21.3",1,1,0,0,2,0,4,1
"DISP1",145,87,130,107,107,120,143,191
"RP11-455P21.2",0,4,0,0,2,0,2,3
"TLR5",163,86,176,94,89,32,88,30
"RP11-239E10.2",0,0,0,0,0,0,0,2
"RP11-239E10.3",0,0,0,0,0,0,0,0
"SUSD4",141,62,147,97,81,33,64,29
"RNU4-57P",0,0,0,0,0,0,0,0
"CCDC185",0,0,0,0,0,0,0,0
"CAPN8",13,1,9,2,5,1,8,11
"RP11-105I12.1",0,0,0,0,0,0,0,0
"RNU6-1248P",0,0,0,0,0,0,0,0
"CAPN2",11902,5866,10656,6585,14732,11545,16053,14796
"TP53BP2",1450,1609,1386,1867,1979,1777,2177,2196
"RP11-332L18.3",3,0,0,0,0,0,0,0
"RP11-332L18.4",1,1,1,3,5,1,0,2
"RP11-504P24.1",3,0,1,0,0,2,0,0
"RP11-504P24.2",692,551,585,636,554,385,620,564
"RNU6-1319P",0,0,0,0,0,0,0,0
"RP11-504P24.3",757,467,642,614,819,453,842,631
"RP11-504P24.9",8,3,3,4,28,21,14,9
"RP11-504P24.5",0,0,7,4,7,4,1,1
"RN7SKP49",0,0,0,0,0,0,0,0
"FBXO28",1422,1025,1320,1223,1647,1310,1722,1579
"RP11-365O16.1",3,5,4,0,5,2,0,5
"DEGS1",3823,3444,3724,4448,3630,3818,3862,4871
"RP11-365O16.3",0,2,1,2,3,1,5,5
"RP11-365O16.6",21,13,11,9,2,7,7,11
"NVL",1238,1007,1152,1237,1325,1049,1546,1354
"MIR320B2",6,0,1,1,2,0,2,5
"RP11-365O16.5",0,0,0,0,0,0,0,0
"RNU6-1008P",0,0,0,0,0,0,0,1
"CNIH4",1108,1158,985,1335,864,917,943,1331
"WDR26",8809,5813,8005,6845,9816,7570,10006,9279
"MIR4742",3,0,1,0,2,0,1,2
"CNIH3",57,19,45,26,76,36,51,29
"RP11-100E13.2",0,0,1,0,0,0,0,0
"RP11-100E13.1",0,0,0,0,0,0,0,0
"RP11-100E13.3",0,0,0,0,0,0,2,0
"RP11-3L21.2",0,0,0,0,0,0,0,0
"RP11-449J1.1",0,0,0,0,0,0,0,0
"DNAH14",21,18,6,27,9,18,14,22
"LBR",6010,3900,5933,4904,9053,5892,9155,7421
"RP11-496N12.6",2,2,6,2,1,5,2,3
"RP11-496N12.9",0,2,0,5,2,5,0,2
"ENAH",4,2,3,18,10,25,4,15
"RP11-145A3.1",1,0,0,0,1,0,1,0
"RP11-145A3.2",0,1,0,0,0,0,0,0
"RNU6-1304P",0,0,0,0,1,0,0,0
"SRP9",4566,3591,4450,4253,4660,3598,4627,4603
"RP11-145A3.4",0,0,0,2,0,0,0,0
"EPHX1",1600,656,1402,810,1973,1295,2147,1693
"RP11-285F7.2",1024,454,905,478,993,639,1189,740
"TMEM63A",17048,6443,14363,7307,22228,10809,24199,14131
"LEFTY1",0,0,1,2,3,2,1,7
"RP4-559A3.7",0,0,0,0,0,0,0,0
"PYCR2",4739,3159,4177,3594,4452,2989,4878,3973
"MIR6741",0,0,0,0,0,0,0,0
"RP4-559A3.6",0,0,0,0,0,0,0,0
"LEFTY2",2,1,0,0,0,1,0,2
"RP4-559A3.5",0,0,0,0,0,0,0,0
"SDE2",1211,948,1100,1182,1503,1255,1528,1517
"RP11-396C23.4",21,12,12,7,25,9,31,15
"H3F3A",973,656,824,747,1119,745,1104,1056
"RP11-396C23.2",4,6,7,3,0,0,2,2
"RP11-396C23.3",0,1,0,3,0,1,1,0
"ACBD3",1123,927,1134,1175,1478,1265,1534,1586
"RP11-275I14.4",5,6,7,10,2,6,11,13
"RP11-275I14.2",0,0,0,1,0,0,0,0
"MIXL1",3,0,4,5,1,3,0,0
"LIN9",135,59,142,76,197,97,203,130
"RP11-125A15.1",0,0,2,0,0,0,0,0
"RP11-125A15.3",0,0,0,0,2,0,0,0
"PARP1",5756,3873,5397,4836,7635,4593,8062,5926
"RP11-118H4.3",0,0,0,0,0,1,0,0
"RP11-118H4.1",0,0,0,0,2,0,0,1
"RN7SKP165",0,0,0,0,0,0,0,0
"RP11-118H4.2",0,0,0,1,0,0,1,0
"C1orf95",2,1,2,5,1,4,0,8
"ITPKB",4364,3158,3963,3652,4950,3425,5360,4254
"RP11-115P16.3",4,1,7,7,8,4,5,8
"RP11-115P16.4",2,1,0,0,0,2,0,0
"RP11-115P16.1",0,0,0,0,0,0,0,0
"PSEN2",845,1301,722,1654,256,302,289,388
"ADCK3",4686,4166,4261,4968,4376,1799,4677,2462
"RP5-1087E8.2",1,0,0,1,3,1,1,0
"CDC42BPA",19,30,22,40,30,32,19,36
"RP5-1087E8.3",0,0,0,0,0,0,0,0
"RP11-1B20.1",0,0,0,0,0,0,0,0
"RP11-211A18.2",0,0,0,0,0,0,0,0
"RP11-211A18.1",0,0,0,0,0,0,0,0
"CTD-2090I13.1",1,0,1,0,0,0,0,0
"CTD-2090I13.2",0,1,0,0,0,0,0,1
"CTD-2090I13.3",0,0,0,0,0,0,0,0
"CTD-2090I13.4",0,0,0,0,1,0,1,0
"RP11-275O4.4",0,0,0,0,0,0,0,0
"FAM166AP5",0,0,0,0,0,0,0,0
"TUBB8P10",0,0,0,0,0,0,0,0
"TUBB8P9",0,0,0,0,0,0,0,0
"FAM166AP4",0,0,0,0,0,0,0,0
"RNA5SP77",0,0,0,0,0,0,0,0
"ZNF678",190,217,191,259,247,219,211,258
"RP4-566D2.1",0,0,0,0,0,0,0,0
"RP5-870F10.1",0,0,4,0,0,0,0,0
"SNAP47",1198,959,1037,1109,1436,1310,1460,1654
"JMJD4",289,242,263,259,219,141,289,192
"RP5-870F10.4",5,5,3,10,9,2,8,7
"PRSS38",1,0,0,0,2,0,0,1
"WNT9A",18,2,10,6,32,33,19,34
"MIR5008",0,0,0,0,1,0,0,0
"RP11-192I3.2",0,0,0,0,0,0,0,1
"RP11-192I3.3",0,0,0,0,0,0,0,0
"WNT3A",3,1,2,4,1,2,0,2
"RP5-881P19.7",1,4,10,2,2,0,1,0
"ARF1",12443,8973,11340,10385,12064,9295,12766,12089
"MIR3620",0,0,0,0,0,0,0,0
"C1orf35",1260,1010,1054,1238,929,711,1198,1092
"MRPL55",1164,1164,1117,1251,904,737,926,993
"RP5-881P19.6",23,19,13,29,10,15,19,15
"RP11-520H14.7",98,60,89,76,74,61,86,88
"RP11-520H14.1",0,0,0,0,0,0,1,0
"GUK1",11338,11303,9840,12638,8111,7240,8894,9819
"GJC2",53,53,54,66,45,54,32,103
"IBA57-AS1",36,23,19,22,11,18,29,14
"IBA57",730,728,702,929,750,723,849,987
"RP11-520H14.6",96,47,108,45,105,45,79,68
"OBSCN",4455,3235,3895,3738,4570,3602,4755,4933
"RP5-1139B12.2",56,94,74,96,78,92,75,147
"RP5-1139B12.3",24,13,30,39,51,30,37,28
"RP5-1139B12.4",16,8,12,13,25,26,31,23
"RP11-245P10.6",6,0,6,1,4,2,7,3
"TRIM11",2994,2348,2805,2860,2971,2647,3155,3481
"RP11-245P10.8",0,0,0,0,0,0,0,0
"MIR6742",0,0,0,0,0,0,0,0
"RP11-245P10.4",15,3,23,14,18,9,24,21
"TRIM17",165,115,165,148,117,100,176,143
"HIST3H3",5,5,4,0,5,6,6,0
"RP5-915N17.3",0,0,0,0,0,0,2,2
"HIST3H2A",413,228,377,237,542,236,657,334
"HIST3H2BB",57,31,39,20,78,38,75,38
"MIR4666A",5,0,4,1,3,1,7,0
"HIST3H2BA",2,4,5,0,4,0,1,1
"RP5-915N17.11",25,17,13,22,31,21,34,29
"RNF187",4160,4025,3827,4536,4033,3682,4195,4717
"RP5-915N17.9",0,3,0,3,0,1,4,1
"RNA5SP19",0,0,0,0,0,0,0,0
"RNA5SP162",0,0,0,0,0,0,0,0
"RNA5S1",0,0,0,0,0,0,0,0
"RNA5S2",0,0,0,0,0,0,0,0
"RNA5S3",0,0,0,0,0,0,0,0
"RNA5S4",0,0,0,0,0,0,0,0
"RNA5S5",0,0,0,0,0,0,0,0
"RNA5S6",0,0,0,0,0,0,0,0
"RNA5S7",0,0,0,0,0,0,0,0
"RNA5S8",0,0,0,0,0,0,0,0
"RNA5S9",0,0,0,0,0,0,2,0
"RNA5S10",0,0,0,0,0,0,0,0
"RNA5S11",0,0,0,0,0,0,0,0
"RNA5S12",0,0,0,0,0,0,0,0
"RNA5S13",0,0,0,0,0,0,0,0
"RNA5S14",0,0,0,0,0,0,0,0
"RNA5S15",0,0,0,0,0,0,0,0
"RNA5S16",0,0,0,0,0,0,0,0
"RNA5S17",0,0,0,0,0,0,0,0
"RNA5SP18",4,3,2,9,4,5,5,9
"DUSP5P",17,45,15,43,18,30,17,39
"RP4-646B12.2",7,6,6,7,22,15,21,18
"RHOU",1184,1724,1316,2237,695,1441,682,1847
"RP4-799G3.1",0,0,0,0,0,0,0,0
"RP4-799G3.2",0,0,0,0,0,1,0,0
"RP5-1065P14.3",0,0,0,0,0,0,0,0
"RP5-1065P14.1",0,0,0,0,0,0,0,0
"RP5-1065P14.2",0,0,0,1,0,0,0,0
"RP5-1061H20.5",0,0,0,0,0,0,0,0
"TMEM78",0,0,1,2,0,0,0,0
"RP5-1061H20.4",5,0,3,4,2,2,8,6
"RAB4A",730,412,694,487,983,471,1055,673
"SPHAR",0,0,0,0,0,0,0,0
"RP4-803J11.2",13,11,16,7,18,6,10,7
"CCSAP",684,450,542,505,542,292,606,444
"RNU6-180P",0,0,0,0,0,0,0,0
"RN7SKP276",0,0,0,0,0,0,0,1
"RP5-1068B5.1",0,0,0,0,0,0,0,0
"ACTA1",16,24,11,7,13,15,8,10
"NUP133",2266,1604,2350,2013,2948,2112,3054,2695
"RP5-1068B5.5",0,0,0,0,0,0,0,0
"RP4-613A2.1",2,1,0,0,8,3,4,0
"ABCB10",1756,1234,1545,1612,2300,1683,2266,2102
"RNU4-21P",4,2,3,2,3,1,1,4
"RNA5SP78",15,11,13,11,9,5,14,9
"RP4-613A2.3",0,0,0,0,0,0,0,0
"TAF5L",1386,1205,1310,1494,1379,1305,1493,1623
"URB2",862,865,838,964,959,678,1047,805
"RP11-108F13.2",11,11,9,17,8,13,9,15
"RP11-108F13.3",0,0,2,0,1,1,1,0
"RP11-286M16.1",0,0,0,0,0,0,0,0
"RP11-552D4.1",0,0,0,0,0,0,0,0
"GALNT2",1624,1519,1398,1852,1977,2575,2153,3203
"RP5-956O18.2",14,13,10,19,20,22,15,36
"RP5-956O18.3",0,0,0,0,0,0,0,0
"PGBD5",0,4,2,3,0,2,0,0
"RP4-553F17.1",0,0,0,0,0,0,0,0
"RP11-543E8.1",0,0,0,0,0,0,0,0
"RP11-543E8.2",0,0,0,0,0,0,0,0
"COG2",2190,1722,2155,2149,2393,1726,2501,2333
"AGT",0,0,0,0,0,2,0,0
"RP11-99J16__A.2",1,0,0,0,0,0,0,0
"CAPN9",0,3,0,0,1,0,1,0
"RNA5SP79",0,0,0,0,0,0,0,0
"RP5-858B6.1",0,0,0,0,0,0,0,0
"C1orf198",141,170,132,156,167,226,190,235
"RP5-858B6.3",0,0,2,0,0,3,0,1
"RN7SL837P",0,1,0,0,0,0,0,0
"TTC13",3925,1973,3580,2339,3865,2711,4314,3451
"ARV1",731,577,687,708,627,461,746,641
"FAM89A",212,285,208,346,176,125,122,172
"MIR1182",0,0,0,0,0,0,0,0
"RP11-423F24.3",3,4,8,6,1,5,2,2
"RP5-1097F14.1",0,0,0,0,0,0,0,0
"TRIM67",11,7,3,6,7,7,5,19
"RP5-1097F14.3",0,0,0,0,0,0,0,0
"C1orf131",1035,778,858,910,887,611,991,847
"GNPAT",3490,2558,3166,2945,3549,2799,3757,3682
"RNA5SP80",0,0,0,0,0,0,0,0
"EXOC8",1828,1391,1798,1638,2556,2002,2355,2624
"SPRTN",447,351,463,443,505,465,566,667
"EGLN1",1293,1840,1217,2439,2057,2862,2029,3537
"RP11-295G20.1",0,0,0,0,0,0,0,0
"RP11-295G20.2",31,35,21,38,23,13,35,25
"TSNAX",1321,1048,1234,1318,1666,1155,1516,1531
"TSNAX-DISC1",1,1,4,1,0,0,0,0
"RP11-17H4.2",2,0,0,0,3,2,4,0
"DISC1",435,408,436,521,445,431,513,531
"RNU5A-5P",0,0,0,0,0,0,0,0
"RF02102",0,0,0,0,0,0,0,0
"LINC00582",0,0,0,0,0,0,1,3
"RP5-865N13.2",0,0,0,0,0,0,0,0
"RP5-865N13.1",0,0,0,0,0,0,0,0
"RP11-284L19.1",0,0,0,0,0,0,0,0
"RN7SL299P",0,0,0,0,0,0,0,0
"SIPA1L2",11,6,17,4,13,4,10,12
"RNU6-1211P",0,0,0,0,0,0,0,0
"RP11-66A2.1",0,0,0,0,0,0,0,0
"RP11-66A2.2",0,0,0,0,0,0,0,0
"MAP10",101,124,113,145,80,110,135,126
"RNU1-74P",0,0,0,0,0,0,0,0
"RP4-659I19.1",1,0,0,0,0,0,0,0
"NTPCR",1368,1146,1361,1389,1275,942,1332,1351
"PCNX2",1655,978,1664,964,2010,1317,2103,1745
"RP5-862P8.1",28,31,27,34,22,27,21,25
"RP5-862P8.3",0,0,0,0,0,0,0,0
"RP5-862P8.2",48,33,32,62,42,125,59,156
"RNU4-77P",0,0,0,0,0,0,0,0
"KCNK1",10,9,10,9,16,4,24,8
"MIR4427",0,0,0,0,0,0,0,0
"RP11-301G21.1",2,0,2,0,1,0,0,0
"SLC35F3",2408,3434,2283,4170,2452,5374,2645,7026
"RP11-577O19.1",0,0,0,0,0,0,0,0
"RP4-799P18.2",3,5,10,7,4,8,10,16
"RP4-799P18.4",1,6,1,2,0,6,4,4
"RP4-799P18.3",2,4,0,6,0,6,6,6
"RP4-799P18.5",1,2,0,3,6,14,1,9
"MIR4671",32,51,37,48,14,62,24,61
"RP5-827C21.1",0,0,0,1,3,3,3,5
"RP5-827C21.2",28,23,30,29,44,33,57,35
"RP5-827C21.6",80,37,61,28,49,40,53,44
"RP5-827C21.4",140,89,119,81,111,50,140,89
"COA6",1089,1071,934,1126,937,730,1028,987
"TARBP1",7918,4642,7470,5819,7860,2753,8603,3420
"RP5-855F14.1",0,1,0,6,0,2,1,6
"RP5-855F14.2",0,0,0,0,0,2,0,0
"RF00096",6,6,1,1,4,4,4,5
"IRF2BP2",6028,7407,5743,9324,5574,6870,5405,8544
"RP4-781K5.2",0,0,0,0,0,0,0,0
"NCRNA00184",15,5,13,4,10,7,7,7
"RP4-781K5.9",0,0,0,0,0,0,0,0
"RP4-781K5.4",0,0,0,0,0,0,0,0
"RP4-781K5.5",0,0,0,0,0,0,0,0
"RP4-781K5.6",2,0,0,0,0,0,0,1
"RP4-781K5.7",0,0,1,0,0,0,0,0
"LINC01132",120,206,104,234,83,127,99,172
"RP11-400F1.1",3,10,14,12,0,2,1,1
"RNY4P16",0,0,0,0,0,0,0,0
"RN7SL668P",0,0,0,0,0,0,0,0
"RP11-443B7.2",1,1,1,3,0,0,0,1
"RP11-443B7.1",3,14,17,27,2,7,1,4
"RP11-443B7.3",2,10,1,9,1,4,4,4
"LINC01348",3,3,1,5,3,2,0,3
"RP4-597N16.1",0,0,1,0,0,0,0,0
"RP4-597N16.4",4,2,5,5,1,3,2,3
"TOMM20",4722,3846,4519,4439,5593,3505,6178,4623
"SNORA14B",3,2,6,4,5,2,2,3
"RBM34",115,84,87,117,88,78,107,127
"ARID4B",3088,2477,2825,2819,3765,3279,3656,4299
"MIR4753",0,0,0,0,0,0,0,0
"RP11-382D8.4",0,0,0,0,1,0,1,0
"GGPS1",615,446,610,510,673,509,682,665
"RP11-293G6.1",149,132,130,191,201,183,243,233
"RP11-382D8.3",12,9,8,13,14,13,14,29
"RP11-517I24.5",1,1,0,0,2,2,0,4
"RP11-517I24.6",1,0,0,1,0,0,1,3
"TBCE",262,305,217,345,262,299,357,422
"RP11-293G6__A.3",0,0,0,0,0,1,2,0
"B3GALNT2",111,137,71,126,154,180,174,191
"RP4-534P7.2",0,0,0,0,0,0,0,0
"RP11-293G6__B.7",0,0,0,0,0,0,0,0
"RP11-293G6__B.6",0,0,0,0,0,0,0,0
"RP11-293G6__B.5",0,0,0,0,0,0,0,0
"RP11-293G6__B.4",0,0,0,0,0,0,0,0
"RP11-293G6__B.3",0,0,0,0,0,0,0,0
"RP11-293G6__B.2",0,0,0,2,0,0,0,0
"GNG4",20,95,19,134,4,1,3,3
"RP11-293G6__B.8",0,0,0,1,0,0,0,0
"RP11-365D9.1",0,0,0,0,0,0,0,0
"LYST",4196,6729,4136,8108,3788,5327,4100,6330
"RP5-1043F6.1",3,2,1,15,10,4,0,6
"RP4-580N22.1",4,9,5,23,6,13,6,3
"MIR1537",1,0,0,0,0,1,3,0
"RNU6-968P",0,0,0,0,0,0,0,0
"RP5-940F7.2",0,0,0,0,0,0,0,0
"RP4-580N22.2",2,1,0,0,0,0,0,0
"NID1",8,9,3,14,6,3,4,3
"RP4-764D2.1",1,2,0,0,0,0,0,0
"GPR137B",237,134,207,172,356,162,306,263
"ERO1B",1286,963,1148,1104,1309,899,1346,1155
"RNU2-70P",2,0,0,2,0,1,0,0
"RP11-478H16.1",0,0,0,0,0,0,0,0
"EDARADD",13,2,12,2,12,5,12,4
"RP4-670F13.2",0,0,0,0,0,0,0,0
"LGALS8",5369,4015,4779,4716,6329,5844,6774,7370
"RP11-385F5.2",4,5,6,10,3,2,3,12
"RP11-385F5.5",179,194,158,187,142,160,148,225
"RP11-385F5.4",16,20,19,18,26,21,19,26
"HEATR1",2621,2355,2470,2854,3171,2249,3202,2789
"ACTN2",0,0,3,0,1,0,0,0
"MTR",3764,2645,3479,3101,4508,2573,5023,3347
"RP11-182B22.2",0,1,1,0,1,0,0,0
"RP11-182B22.4",1,1,1,3,1,1,0,0
"MT1HL1",0,0,0,1,2,0,0,0
"RYR2",2,3,2,1,0,0,1,0
"RN7SKP195",0,0,0,0,0,0,0,0
"MIR4428",0,0,0,0,0,0,0,0
"RP11-193H5.1",0,0,0,0,0,0,0,0
"ZP4",0,0,0,0,0,0,0,0
"RP11-193H5.2",0,0,0,0,0,0,0,0
"RP11-193H5.9",0,0,0,0,0,0,0,0
"RP11-193H5.8",0,0,0,0,0,0,0,0
"RP11-193H5.7",0,0,0,0,0,0,0,0
"MTRNR2L11",0,2,0,0,0,0,0,0
"RP11-193H5.5",0,0,0,0,0,0,0,0
"RP11-193H5.4",0,0,0,0,0,0,0,0
"RP11-193H5.3",0,0,0,0,0,0,0,0
"RP11-547P4.1",0,0,0,0,0,0,0,0
"RP11-136B18.1",0,0,0,0,0,0,0,0
"RP11-136B18.2",0,0,0,0,0,0,0,0
"RNU6-725P",0,0,0,0,0,0,0,0
"RP11-371I1.2",0,0,0,0,0,0,0,0
"RP11-177F15.1",0,0,0,0,0,0,0,0
"RP11-371I1.1",0,0,0,0,0,0,0,0
"RP11-362H12.1",0,0,0,0,0,0,0,0
"RP11-307O1.1",0,0,0,0,0,0,0,0
"RP11-544D21.2",0,0,0,0,0,0,1,0
"CHRM3",1,1,4,1,10,1,1,4
"RP11-343J24.1",5330,3507,5097,4280,7564,5412,8393,7118
"RP11-35L17.2",0,0,1,0,0,0,0,0
"RP11-35L17.3",0,0,0,0,0,0,0,0
"RP11-438O11.1",0,0,0,0,0,0,0,1
"RP11-35L17.4",0,0,0,0,0,0,1,0
"FMN2",0,0,0,0,0,0,0,0
"RP11-567G24.1",1,2,8,4,6,3,5,3
"ADH5P3",0,0,0,0,0,0,0,0
"RP11-567G24.3",0,0,0,0,0,0,0,0
"RP11-177F11.1",0,0,0,0,0,0,0,0
"GREM2",47,6,38,2,6,17,8,27
"RP11-467I20.2",0,0,0,0,0,0,0,0
"RP11-467I20.4",0,0,0,0,0,0,0,0
"RP11-467I20.6",0,0,0,0,0,0,0,0
"RP11-467I20.3",1,1,0,0,0,0,0,0
"RNU5F-8P",0,0,0,0,0,0,0,0
"RP11-467I20.5",0,0,0,0,0,0,0,0
"RP11-80B9.4",0,0,0,0,0,0,0,0
"RP11-80B9.1",0,0,0,0,0,0,0,0
"RP11-80B9.2",0,0,0,0,0,0,1,0
"RGS7",0,0,0,0,0,1,1,1
"RP11-80B9.5",0,0,0,0,0,0,0,0
"RP11-435F13.1",0,0,0,0,0,0,0,0
"RP11-435F13.2",0,0,1,0,0,0,0,0
"MIR3123",0,0,0,0,0,0,0,0
"RP11-306K13.1",0,0,0,0,0,0,0,0
"RP11-527D7.1",0,0,0,0,0,0,0,0
"FH",1530,1151,1251,1542,1529,1024,1599,1479
"KMO",9,6,9,9,3,5,12,6
"OPN3",65,10,55,22,70,41,105,47
"CHML",1041,1043,911,1204,1471,1034,1348,1285
"WDR64",34,28,25,23,4,10,8,0
"RP11-553N16.1",0,0,0,0,0,0,0,0
"EXO1",110,52,104,70,93,56,106,75
"RPL23AP20",0,0,0,1,0,3,0,2
"BECN2",0,0,0,0,0,0,0,0
"CFL1P4",0,0,0,0,0,0,1,0
"MAP1LC3C",0,0,0,0,0,0,0,1
"TUBB8P6",0,0,0,0,0,0,0,0
"FAM166AP1",0,0,0,0,0,0,0,0
"PLD5",0,0,0,0,0,0,0,0
"RP11-561I11.4",0,0,0,0,0,0,0,0
"RN7SKP12",0,0,0,0,0,0,0,0
"RP11-561I11.3",0,0,0,0,2,0,0,0
"RP11-513D4.3",0,0,0,0,0,0,0,0
"RP11-513D4.2",0,0,0,0,0,0,0,0
"RP11-513D4.1",0,0,0,0,0,0,0,0
"RP11-435I3.1",0,0,0,0,0,0,0,0
"RP11-377O11.1",0,0,0,0,0,0,1,0
"RP11-498M14.1",0,0,0,0,0,0,0,0
"RP11-498M14.2",0,0,0,0,0,0,0,0
"RP11-331N16.1",1,0,1,0,1,1,0,0
"RP11-261C10.1",0,0,0,0,0,0,0,0
"SEPT14P21",0,0,1,1,0,1,0,0
"RP11-261C10.8",0,0,0,1,2,0,3,0
"RP11-261C10.7",34,33,41,36,26,24,35,43
"RP11-261C10.3",69,61,57,91,59,52,93,70
"RNU6-747P",0,0,0,0,0,0,0,0
"CEP170",735,631,739,764,852,859,928,1054
"RP11-261C10.5",9,11,4,10,8,8,11,7
"RP11-261C10.4",0,0,0,0,0,0,0,0
"SDCCAG8",771,648,734,723,859,722,943,993
"RP11-156F12.1",1,1,2,0,2,1,2,3
"MIR4677",2,3,5,1,3,4,2,5
"AKT3",606,476,654,707,929,907,901,1098
"RP11-269F20.1",2,4,0,2,4,4,1,3
"RP11-370K11.2",0,0,0,2,0,3,0,0
"RP11-370K11.1",0,0,0,0,0,1,0,1
"RP11-351N5.1",4,2,3,2,3,0,1,0
"RP11-278H7.1",4,0,3,0,3,3,9,1
"ZBTB18",3405,1806,3019,1991,4937,2700,4879,3485
"RP11-278H7.5",1,0,0,1,1,0,1,0
"RP11-278H7.4",0,0,0,0,0,0,0,1
"RN7SL148P",0,0,0,0,0,0,0,0
"RP11-278H7.3",0,0,0,0,0,0,0,0
"C1orf100",23,32,14,31,11,24,15,21
"RP11-518L10.5",0,0,0,0,0,0,1,0
"TGIF2P1",6,6,4,7,4,5,7,9
"ADSS",2454,1765,2443,2306,2984,1984,3202,2556
"C1orf101",30,35,39,46,25,37,33,53
"RP11-523K4.2",0,0,1,1,0,0,0,0
"DESI2",1894,1381,1901,1690,2390,1780,2682,2326
"RP11-173A6.2",0,3,4,0,8,11,7,4
"RP11-173A6.4",1,3,2,0,0,1,3,0
"RP11-173A6.3",0,1,3,5,0,0,1,2
"COX20",195,131,162,146,208,115,211,182
"HNRNPU",20634,17686,19464,21453,23422,18120,25138,23261
"RP11-11N7.4",2,0,1,3,1,2,1,0
"RN7SKP55",0,0,0,1,1,1,1,0
"RNU6-947P",0,0,0,0,0,0,0,0
"RP11-156E8.1",14,9,17,13,16,7,19,19
"EFCAB2",62,15,57,33,66,41,90,50
"RNU6-1089P",0,0,0,0,0,0,0,0
"RNU6-999P",0,0,0,0,0,0,0,0
"RP11-290P14.2",0,0,0,0,0,0,0,0
"RNU1-132P",0,0,0,0,0,0,0,0
"KIF26B",25,25,22,49,15,65,11,81
"RP11-62I21.1",0,0,0,0,0,0,0,0
"RP11-62I21.2",0,0,0,0,0,0,0,0
"RP11-522M21.2",0,0,0,0,0,0,0,0
"RP11-522M21.3",2,0,1,2,2,0,0,2
"SMYD3",384,444,393,505,344,279,320,311
"RP11-83A16.1",3,0,0,2,1,1,0,0
"RP11-36N20.1",1,2,0,1,0,2,2,0
"RP11-36N20.2",2,0,0,0,0,1,0,0
"RNU6-1283P",0,0,1,0,0,0,0,0
"RP11-88N11.1",1,0,2,0,1,2,1,1
"RP11-690C23.4",0,0,0,0,0,0,0,0
"RP11-690C23.2",2,0,0,1,1,0,1,0
